trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
426,False,"{'a': 0.005, 'e': 0.11883729385240965}",20,6,-38.71187867967612,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
427,False,"{'a': 0.005, 'e': 0.1182445903766354}",25,18,1.4845025311882862,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
428,False,"{'a': 0.005, 'e': 0.11765484302177918}",20,10,20.99745731972169,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
429,False,"{'a': 0.005, 'e': 0.11706803704412637}",20,15,8.507177737970645,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
430,False,"{'a': 0.005, 'e': 0.11648415777349697}",30,19,21.211813653116675,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
431,False,"{'a': 0.005, 'e': 0.11590319061287874}",25,11,13.832808433026736,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
432,False,"{'a': 0.005, 'e': 0.11532512103806251}",20,0,3.7037495235372973,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
433,False,"{'a': 0.005, 'e': 0.11474993459727875}",20,0,25.910795485442303,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
434,False,"{'a': 0.005, 'e': 0.1141776169108365}",30,12,28.5733246811062,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
435,False,"{'a': 0.005, 'e': 0.11360815367076371}",20,10,19.669690432579056,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
436,False,"{'a': 0.005, 'e': 0.11304153064044985}",25,7,17.997637733190576,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
437,False,"{'a': 0.005, 'e': 0.11247773365428958}",25,0,28.551843014426503,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
438,False,"{'a': 0.005, 'e': 0.11191674861732888}",25,18,11.632593069678721,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
439,False,"{'a': 0.005, 'e': 0.11135856150491262}",30,16,19.171696836036535,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
440,False,"{'a': 0.005, 'e': 0.11080315836233387}",20,8,23.651096242789833,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
441,False,"{'a': 0.005, 'e': 0.11025052530448522}",20,0,29.252806461595107,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
442,False,"{'a': 0.005, 'e': 0.10970064851551141}",20,8,9.351267683365863,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
443,False,"{'a': 0.005, 'e': 0.10915351424846406}",30,12,30.78711497407626,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
444,False,"{'a': 0.005, 'e': 0.10860910882495796}",20,11,16.372849589337157,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
